aR1,aR2,aR3,aR4,aR5,aR6,bR1,bR2,bR3,bR4,bR5,bR6,avgMCP,daily MW1,daily MW2,daily MW3,daily MW4,daily MW5,daily MW6
18.66666667,15,60,30,30,16,0.007713994,0.1194,0.01,0.099,0.025000167,0.043302326,19.72492918,95.6162062,95.96696639,13.65473012,0.460202567,454.5609793,259.2887177
24,20,50,60,40,13.09090909,0.327274545,0.0200006,0.016025769,0.450001,0.066666917,0.021922199,18.87502472,119.7630678,112.1432765,7.130674726,0.498763949,495.4201152,272.1333987
16.8,36,37.5,32.72727273,30,20.57142857,0.229092727,0.006,0.01,0.012,0.05000025,0.099893688,19.99139652,104.6675218,84.46946149,7.226695881,0.384523419,506.7282634,298.7580717
56,18,37.5,45,17.14285714,12,0.509092273,0.1260012,0.01802899,0.012,0.007,0.032476744,20.72006898,94.28799961,90.14662268,7.504287435,0.410333412,670.522703,253.6147335
28,45,27.27272727,36,10,24,0.011570744,0.675002,0.01,0.0900005,0.008393939,0.017,20.64781708,97.01200392,100.8603665,6.64275954,0.294120843,491.0829933,238.1057445
24,60,75,51.42857143,17.14285714,36,0.036364242,0.4200012,0.02403859,0.012,0.007,0.017,21.22891983,136.726898,91.9070883,8.071989753,0.432412027,563.099073,345.0836776
24,45,60,51.42857143,17.14285714,14.4,0.218183182,0.11250075,0.080769462,0.012,0.008714286,0.017023256,22.92925207,99.90626121,109.4806881,8.474352554,0.683910487,609.8160787,258.2105019
14,20,42.85714286,32.72727273,15,13.09090909,0.073636364,0.006,0.013736392,0.048681818,0.007,0.108591966,23.77079477,102.147438,97.35573089,7.056639414,0.447096744,534.6533121,278.0139289
15.27272727,20,33.33333333,120,17.14285714,48,0.013884843,0.006,0.013333333,0.027273,0.007,0.078139814,20.60700009,98.92597235,117.1801104,6.646895614,0.67361611,553.8409907,341.3187025
33.6,36,100,32.72727273,15,13.09090909,0.213819273,0.180001,0.048077067,0.048681818,0.007,0.046684989,22.2596528,101.1864705,88.20086807,7.121390865,0.259262233,489.4870843,251.6294663
56,15,60,120,24,12,0.050909636,0.168,0.019230897,0.100000333,0.04000025,0.047953488,24.24923919,111.8425712,80.99256751,8.128549496,0.466675446,473.1224376,272.2125989
28,15,27.27272727,45,30,20.57142857,0.09090987,0.006,0.024833916,0.0225003,0.007,0.099893688,20.72037787,104.8653598,98.96212355,7.849345811,0.734295254,606.1156938,332.0959139
16.8,60,75,40,40,12,0.054546234,0.6000015,0.051511154,0.071429,0.007,0.023190698,32.5132709,172.4592655,90.59690558,7.499178915,0.471670849,479.4367404,341.4072771
24,15,27.27272727,45,24,13.09090909,0.005,0.013363636,0.014622378,0.080357571,0.007,0.059066385,21.79563227,94.77465223,106.7551323,7.755837093,0.400985042,452.5169945,239.5129217
42,45,50,120,13.33333333,24,0.038182364,0.11250075,0.024038606,0.0600003,0.050222222,0.017,19.74139548,107.7032315,83.51284634,6.723584709,0.398582192,482.7478511,329.0115551
33.6,18,75,32.72727273,10,48,0.213819273,0.006,0.01,0.179181818,0.012111111,0.017,26.31778956,137.0978854,98.09347089,9.594486677,0.473602115,566.6368867,327.6562502
24,30,100,90,20,28.8,0.021818727,0.006,0.019230885,0.160714714,0.016666833,0.017,24.70895463,122.5988186,121.4093382,7.558429464,0.294087193,686.2019498,442.9167119
16.8,22.5,50,90,30,16,0.025455152,0.05625075,0.016025769,0.0450003,0.007,0.027825581,20.91304314,101.1775974,88.59327925,7.468690225,0.333935173,554.515525,265.0447823
14,22.5,37.5,120,30,16,0.073636364,0.337502,0.025755659,0.150000375,0.008333444,0.055683721,22.23685123,98.92969326,109.4180548,6.833562449,0.5397663,584.2820041,239.9776765
24,30,60,60,10,20.57142857,0.109091818,0.006,0.019230897,0.012,0.017952381,0.017,21.09062444,101.4003237,93.69824713,11.25302846,0.305591263,538.980065,268.6880676
14,20,27.27272727,120,10.90909091,48,0.005,0.1400012,0.01,0.150000375,0.036909091,0.111628256,21.88013977,92.36711444,94.03039734,8.157299952,0.301118906,486.3303511,249.0124645
15.27272727,22.5,60,120,24,16,0.069422397,0.337502,0.0576925,0.900001,0.007,0.022666667,23.64541763,104.4514031,83.63986395,7.162451972,0.403261568,494.6107612,321.6484207
28,22.5,33.33333333,36,12,14.4,0.005,0.0225006,0.01,0.0900005,0.036,0.017023256,21.09503996,106.1132102,96.62664202,8.235782118,0.501665531,500.7961914,247.4086039
15.27272727,60,30,51.42857143,12,24,0.00631154,0.4200012,0.029505495,0.012,0.0268,0.017,19.21750868,120.2235212,95.83167776,6.595913918,0.459102747,530.6390025,259.6839502
33.6,16.36363636,25,120,15,13.09090909,0.076364318,0.081819182,0.057653846,0.3000005,0.007944444,0.059066385,20.51863314,187.6279411,88.74486303,7.182695526,0.477912052,785.5119784,232.9034657
18.66666667,22.5,50,72,24,48,0.254547273,0.337502,0.034340824,0.090000375,0.020000167,0.017,20.47586159,10.80801503,95.4711759,7.449643133,0.551504679,520.1081163,251.1270863
14,30,50,72,15,14.4,0.054025974,0.006,0.01,0.2520006,0.007,0.029686047,24.5843579,124.4679945,102.3623895,6.613996674,0.27179533,602.2708365,353.528213
16.8,25.71428571,75,90,17.14285714,20.57142857,0.229092727,0.006,0.051511154,0.45000075,0.012,0.017351052,19.65914943,121.5154651,115.440648,7.735027637,0.462538293,551.0393542,335.8124372
42,60,30,30,13.33333333,28.8,0.005,0.6000015,0.01,0.012,0.007,0.017,19.45807068,118.6101735,83.7799014,6.673637165,0.526290043,544.5271564,278.665725
42,20,27.27272727,51.42857143,10.90909091,36,0.381819545,0.100001,0.055468531,0.012,0.036909091,0.083721279,20.72175347,133.3483053,87.09820822,7.733800207,0.422106532,1238.76646,293.0925801
33.6,22.5,100,45,17.14285714,36,0.213819273,0.010227818,0.096154038,0.080357571,0.016380952,0.017,22.81709939,106.4501904,137.2559393,8.264282692,0.329726043,915.6904825,266.6947396
56,30,100,45,24,48,0.254546364,0.3000015,0.019230885,0.080357571,0.007,0.078139814,20.01114608,95.28877795,83.23241964,6.75256799,0.648510227,605.5676189,263.0118226
14,36,37.5,45,15,48,0.101090909,0.180001,0.012019359,0.012,0.0243,0.017,28.44872059,109.5845169,111.3758521,9.448840172,0.362457123,630.7078571,251.5863239
42,36,30,45,10,24,0.19091,0.180001,0.01,0.1125005,0.022333333,0.095906977,24.93155469,98.89399826,90.59669835,7.49974446,0.593282614,457.9767407,314.2356401
21,15,75,36,30,48,0.047727955,0.249,0.072115577,0.064286143,0.007,0.078139814,22.03183964,92.89078231,104.32547,7.260309876,0.705812954,502.3972735,264.7769944
15.27272727,22.5,42.85714286,36,40,24,0.00631154,0.010227818,0.013736392,0.064286143,0.011111222,0.095906977,21.71508269,99.71593339,105.4128408,6.74779623,0.774906567,698.3851524,301.3714834
42,16.36363636,30,32.72727273,17.14285714,20.57142857,0.017355868,0.007438562,0.01,0.179181818,0.016380952,0.017,26.11194355,98.33943197,116.7988989,6.793076357,0.434688507,600.8412234,230.2453495
24,20,37.5,45,17.14285714,16,0.077922857,0.2000015,0.01802899,0.0225003,0.016380952,0.105209302,21.12048055,109.9331308,102.4190447,6.683617878,0.605123004,565.4017017,226.2159415
21,60,75,36,30,18,0.133637455,0.6000015,0.014423192,0.012,0.05000025,0.040976744,22.38234498,100.2610638,100.6661043,6.367637838,0.701457115,568.232995,304.001295
28,22.5,27.27272727,36,40,14.4,0.38182,0.1575012,0.041853147,0.012,0.011111222,0.045162791,18.1431058,99.70971392,95.64336384,6.870045298,0.258478264,580.44264,242.2604903
42,15,30,120,30,13.09090909,0.572729091,0.168,0.012,0.60000075,0.075000333,0.059066385,21.30579868,153.8830189,95.92104286,8.328818411,0.455430625,556.8529717,253.0943874
24,18,50,90,24,24,0.005,0.008182364,0.034340824,0.020454818,0.060000333,0.018523256,37.82081568,104.440295,88.79000286,7.951374465,0.189377318,615.5285415,304.5702309
16.8,15,75,72,10,12,0.229092727,0.168,0.216346538,0.128571857,0.010066667,0.060334884,23.76067357,97.02425561,101.5322121,7.418976104,0.34525932,576.0075395,248.4275557
14,15,37.5,40,15,24,0.054025974,0.063857143,0.012019359,0.050000375,0.007,0.025156146,18.43804817,110.5279166,115.4997859,8.411777243,0.613877798,509.7481947,214.7554899
56,45,27.27272727,72,17.14285714,12,0.084849091,0.675002,0.014622378,0.060000333,0.008714286,0.060334884,18.78955914,104.7108081,93.20188528,7.090357233,0.369236044,559.0709461,223.0688252
16.8,36,30,120,24,14.4,0.0381825,0.060000667,0.029505495,0.0600003,0.010000125,0.107069767,19.22178766,130.2586041,95.22189187,6.564916894,0.446563795,483.2782822,283.0634091
24,36,33.33333333,45,17.14285714,14.4,0.109091818,0.060000667,0.01,0.22500075,0.007,0.017,17.04101669,93.43045602,91.30745672,8.49012326,0.50045784,496.6911475,357.1924306
42,25.71428571,37.5,40,30,16,0.017355868,0.04285781,0.036057885,0.012,0.0350002,0.022666667,20.88925968,113.8194041,93.77662973,6.381298222,0.466944685,502.1842637,272.8079797
24,16.36363636,25,32.72727273,24,12,0.109091818,0.114546655,0.021346154,0.179181818,0.007,0.039109635,18.0668109,120.6726071,88.46499538,6.874902078,0.306869501,563.3302259,264.4282182
28,60,25,120,15,48,0.011570744,0.4200012,0.013094406,0.3000005,0.018166667,0.167442326,19.51186907,89.49893032,93.13641778,6.395324348,0.529026424,562.1739354,218.712578
24,22.5,37.5,60,12,14.4,0.152728364,0.006,0.025755659,0.30000075,0.010444444,0.057544186,19.68581841,97.39278236,104.9240791,9.584773697,0.500582181,719.2941956,263.9405393
28,36,75,72,13.33333333,24,0.005,0.016364182,0.216346538,0.540001,0.007,0.034,21.56173923,88.77085398,87.49313693,7.461105075,0.479575261,503.5017562,294.1850701
21,22.5,100,72,30,48,0.286365455,0.006,0.019230885,0.128571857,0.017857286,0.167442326,19.18760993,129.8347697,99.90012145,8.789309059,0.326078607,833.3375945,329.5674734
28,30,100,60,20,28.8,0.254546818,0.107143714,0.134615615,0.450001,0.007,0.046884,19.70880642,90.47912558,104.0842228,6.964749848,0.502367196,527.8925416,260.5977884
42,45,60,30,30,36,0.572729091,0.11250075,0.028846298,0.099,0.008333444,0.05860493,17.71794617,103.0236061,91.72057978,8.431962297,0.325604422,521.5721164,245.9450251
15.27272727,36,60,32.72727273,15,13.09090909,0.023141102,0.060000667,0.019230897,0.022581818,0.007,0.017,17.02904904,103.9545749,93.74875312,6.525329177,0.876370615,545.7124252,251.1401188
42,25.71428571,27.27272727,30,12,48,0.136364416,0.385716286,0.075891608,0.012,0.016285714,0.018604806,24.25354711,118.8573001,128.1457203,10.58524404,0.514684236,522.611239,279.2851157
15.27272727,18,25,30,20,36,0.069422397,0.1800015,0.044038462,0.1338,0.007,0.020930407,28.37002908,93.10535686,91.04494281,7.603119024,0.340158953,455.6633169,281.1008843
24,45,100,90,24,16,0.109091818,0.4500015,0.068681484,0.2250005,0.007,0.017,20.38205652,105.2316866,90.17922392,7.522450483,0.444710353,425.8188731,272.8950378
15.27272727,30,100,90,10,18,0.069422397,0.150001,0.096154038,0.45000075,0.012111111,0.017,18.52035461,105.8660279,126.9142049,6.632982216,0.437815178,463.7992297,374.7648873
21,45,25,51.42857143,24,36,0.095455455,0.11250075,0.112115385,0.257143607,0.010000125,0.017,29.34833452,81.36921878,90.35700453,9.560652524,0.438126399,501.3429479,267.6927929
42,25.71428571,60,32.72727273,40,16,0.19091,0.091837592,0.028846298,0.048681818,0.0333335,0.043302326,23.28346351,85.57050998,92.19064722,6.620536496,0.557417178,547.1809396,293.1399703
14,20,60,45,13.33333333,36,0.018727273,0.071429429,0.173077308,0.1125005,0.025688889,0.029900532,18.75619138,92.89166567,85.57135276,6.846097834,0.782841408,507.7106984,278.5426432
21,16.36363636,50,36,30,16,0.019091455,0.027273394,0.048077115,0.0900005,0.025000167,0.017,20.02238704,94.54806948,109.5312555,9.737259752,0.801308782,580.9252522,263.4911357
