1,1,1,1,1,1,1,1,1,1,1,1,avgLMP1,avgLMP2,avgLMP3,avgLMP4,avgLMP5,avgLMP6,avgMW1,avgMW2,avgMW3,avgMW4,avgMW5,avgMW6
,,,,,,,,,,,,15.33713946,26.39307909,22.79995083,22.71331465,18.89675658,22.49582113,103.212352,103.5343515,56.82910878,0.567249376,499.7855916,251.5225656
,,,,,,,,,,,,15.82358547,18.33658803,22.97142232,25.78125807,19.46937422,17.78116622,106.5543873,104.4237123,67.99345295,0.608093931,465.3630939,296.7992525
,,,,,,,,,,,,19.36879976,21.93914268,27.46094225,21.34752589,22.46276158,16.92140059,94.01425959,83.34679822,55.04633193,0.412293589,534.5480295,254.8506352
,,,,,,,,,,,,17.59258147,23.87646701,19.90827136,21.57335543,17.10194943,19.83516264,104.8893426,85.71014185,58.19325498,0.276984251,479.4668257,213.3852015
,,,,,,,,,,,,15.5194938,26.91508709,20.52710658,25.06871003,16.97435101,20.06354722,120.3366346,102.9761587,55.28490885,0.301113368,499.9297229,223.8795323
,,,,,,,,,,,,15.38045387,24.50871909,21.28476069,28.29332093,16.53577982,17.18457929,108.7297309,99.40692356,61.10275677,0.469914441,663.0999681,256.5281223
,,,,,,,,,,,,18.25677066,26.17429705,21.50859786,25.79599775,16.79053958,18.81930757,110.5649408,108.6350223,53.29048675,0.368108482,540.4280498,233.6156935
,,,,,,,,,,,,15.08368307,22.33805848,24.99422318,20.44498605,16.53899214,21.16042225,91.31447707,82.88984779,54.81743318,0.323206772,503.2999809,227.607607
,,,,,,,,,,,,16.77737741,22.0263424,26.89465787,21.70661287,18.97076328,19.45336172,98.47060244,99.752771,61.26056259,0.179096364,584.0609185,226.4366247
,,,,,,,,,,,,19.12304766,21.69981563,23.01152039,21.17626792,17.61214352,18.98787635,96.80915074,83.83241132,66.75012966,0.298962764,553.8960701,320.7861109
,,,,,,,,,,,,19.93883543,21.26970312,24.03911637,22.2406253,18.29820611,19.90518561,100.0526499,105.8072835,61.38128399,0.60332889,566.2684458,259.2451936
,,,,,,,,,,,,17.16814532,41.65162228,25.27302211,19.20791628,16.30262193,18.62417386,104.8379217,99.07805465,89.70228669,0.486484579,584.6182599,261.6045847
,,,,,,,,,,,,20.20181243,20.89180524,23.42857656,24.45837821,20.10237034,18.25881548,86.48519316,87.66394811,65.47370927,0.37141722,442.9739129,189.508848
,,,,,,,,,,,,13.89533737,20.95165918,23.84110786,26.43892987,17.49191519,16.90333711,87.56709924,158.5751692,53.1962664,0.404359862,632.8480829,313.244453
,,,,,,,,,,,,13.62450891,24.62006964,21.92704684,23.92524746,18.96836426,18.70475465,111.0083859,144.5669964,57.35807678,0.32892717,541.0955926,223.3090708
,,,,,,,,,,,,19.68924729,31.81975846,22.45275103,19.80628417,18.4379326,19.08365404,108.8915946,92.2307544,53.1418538,0.499371595,592.9688386,221.8352007
,,,,,,,,,,,,18.86014515,28.42386459,23.43621484,29.42981996,23.1655015,17.43358802,105.4150611,157.028412,53.36202418,0.573149908,725.1314972,218.2333955
,,,,,,,,,,,,14.04546112,31.77315577,19.82948692,21.77445074,20.09946297,18.76068608,90.25078346,76.41288225,55.09100935,0.71140139,525.7253816,208.8808369
,,,,,,,,,,,,22.6258633,20.25979784,55.91667703,19.89714927,19.81682633,21.37169674,90.30876743,91.79043391,51.94260003,0.483887023,514.145492,249.8149266
,,,,,,,,,,,,15.05970439,23.55228651,28.53255359,24.49260743,18.812865,18.06928605,134.136124,118.2046976,55.67289551,0.403627754,815.4574102,182.8761281
,,,,,,,,,,,,15.02776248,24.01716826,19.60132441,19.13639237,17.10644708,19.3193062,97.94050565,90.39008388,53.29727806,0.512183902,564.6134736,213.9483269
,,,,,,,,,,,,12.89951435,20.1492354,21.15343707,23.21286525,17.33732248,22.64681119,96.79770423,86.17634227,56.6872499,0.333802399,508.5896629,178.2097588
,,,,,,,,,,,,13.66840389,32.87869526,22.44667444,18.010475,18.95060645,18.47795121,90.33558554,108.5722694,55.02320568,0.356595615,495.8237527,227.9922547
,,,,,,,,,,,,15.68420957,18.72793685,22.80205778,25.28643735,18.55160575,17.64661658,100.1212217,92.58235923,80.82669655,0.410764622,590.4353059,227.9688798
,,,,,,,,,,,,14.5449415,19.84831304,22.01316716,23.87633815,18.80647152,20.093957,113.7723884,90.1061446,72.66508651,0.657514218,732.102404,220.3698734
,,,,,,,,,,,,14.80411377,19.80948158,20.9682721,21.15364109,19.63337128,17.70085871,92.41040708,80.43730174,64.64961933,0.492698976,495.5389935,194.3764778
,,,,,,,,,,,,15.71015389,22.43609507,23.79567976,18.64349422,16.87180532,17.77374594,140.6132532,86.61428038,54.62088902,0.311283995,485.7869802,357.5770014
,,,,,,,,,,,,26.54563606,21.9078667,24.80677097,16.5980592,16.96436034,19.06768659,104.3219807,91.23277598,60.21373476,0.395007728,472.5732375,228.2636305
